path,mean_L,mean_a,mean_b
Q:\Meme_Repository\1416183805532.jpg,148.12071007430305,131.7479945851001,127.67817306263096
Q:\Meme_Repository\1416183884671.jpg,178.59421746932003,129.3478129536622,128.6387999723482
Q:\Meme_Repository\1416183893590.jpg,174.2354052734375,133.42025390625,129.86140625
Q:\Meme_Repository\1416184146281.jpg,224.74649012189997,129.64856031946195,127.28606031946195
Q:\Meme_Repository\1416184315717.jpg,215.93801461065138,130.83810569966244,131.41321934962056
Q:\Meme_Repository\1416184648399.jpg,133.8677099609375,132.0166015625,122.45861083984374
Q:\Meme_Repository\1416185911304.jpg,223.55069284802045,127.98494252873563,128.02092592592592
Q:\Meme_Repository\1416194054162.jpg,225.7655937807795,128.2720205431265,133.18512382158434
Q:\Meme_Repository\1416195195290.jpg,201.3248358886657,131.3590920293048,134.1790101790102
Q:\Meme_Repository\1416196149031.jpg,112.67982576172231,132.50392264185368,128.14411147600802
Q:\Meme_Repository\1416196189197.jpg,130.72572631835936,139.30041870117188,132.92585876464844
Q:\Meme_Repository\1416266187211.jpg,154.2490985398229,131.77439299260266,138.28904447264068
Q:\Meme_Repository\1416268319722.jpg,220.91959545923632,132.0834619883041,136.10625524595804
Q:\Meme_Repository\1416840720265.jpg,219.94108796296297,130.13208590534978,125.996841563786
Q:\Meme_Repository\1416841478045.jpg,91.15563564061141,136.3863427364235,124.68077295886665
Q:\Meme_Repository\1416841615846.png,165.0384057012684,135.37275860754275,122.82097097419107
Q:\Meme_Repository\1417019995296.png,212.48004485352521,135.81263315890297,122.15623452319768
Q:\Meme_Repository\1417159571408.png,233.55607511801327,125.06357152630498,137.47700280495314
Q:\Meme_Repository\1417159625180.png,220.6643292807311,130.6629166496675,136.60631961160294
Q:\Meme_Repository\1417159687063.png,198.85079694449914,140.13846942227204,145.0777582559613
Q:\Meme_Repository\1417261424751.jpg,42.76873263888889,126.10789978780865,121.99043016975308
Q:\Meme_Repository\1417266564289.jpg,70.61744116512345,126.6254157021605,128.0089988425926
Q:\Meme_Repository\1417329553947.png,232.5690287056115,125.63097333187314,139.00946156921972
Q:\Meme_Repository\1417329681944.jpg,169.5589409163107,135.74477215536947,125.41413663701422
Q:\Meme_Repository\1417331283512.jpg,239.85837156230895,126.75433196906836,134.7372934351943
Q:\Meme_Repository\1417331366932.jpg,240.01357341172627,125.64677445696555,135.9380320104524
Q:\Meme_Repository\1417332960841.jpg,193.77834454508536,134.24252608718683,133.60407242615253
Q:\Meme_Repository\1417394749262.png,176.7716939407342,129.66747899159665,129.23042016806724
Q:\Meme_Repository\1417558965191.jpg,240.08028998419368,128.00134363380948,128.01568438965967
Q:\Meme_Repository\1417559256133.jpg,208.5656749794268,128.64668682242657,129.59547210991448
Q:\Meme_Repository\1417559409686.jpg,188.7308375,130.13131625,132.16587375
Q:\Meme_Repository\1417559428837.jpg,73.79655430169753,128.61659722222223,131.24709442515433
Q:\Meme_Repository\1417560153657.jpg,66.7721835702865,134.13173588003977,137.94998919666392
Q:\Meme_Repository\1417560630225.jpg,221.30252898759107,129.55448726643988,121.66279803729005
Q:\Meme_Repository\1417560833907.jpg,154.94293524871355,128.31207118353345,134.4832975986278
Q:\Meme_Repository\1417561272968.jpg,92.72135596322525,136.26079871034958,139.15760907823784
Q:\Meme_Repository\1417562589962.jpg,23.170838446704067,128.00895205119215,127.98616321879383
Q:\Meme_Repository\1417659823827.jpg,132.14600694444445,136.5910763888889,95.79920833333334
Q:\Meme_Repository\1417758929123.jpg,227.1309188417405,129.89725873947287,133.53297464203422
Q:\Meme_Repository\1417759552291.jpg,172.64507450980392,128.59184509803922,133.86920588235293
Q:\Meme_Repository\1417759569692.png,216.61215558966097,130.8682041620709,126.6410414913019
Q:\Meme_Repository\1417759790845.jpg,79.36814888888888,128.17671555555555,127.93254
Q:\Meme_Repository\1417759930673.jpg,152.6707234936269,130.22630721320974,122.78355421977598
Q:\Meme_Repository\1417760098210.jpg,164.46991054949723,129.935463884972,123.48469302090082
Q:\Meme_Repository\1417760203795.png,179.8856418018018,127.85085621621621,129.83969063063063
Q:\Meme_Repository\1417760243734.jpg,234.21599342242,128.7047317618867,133.5693243920629
Q:\Meme_Repository\1417760413889.jpg,234.73495418335867,127.30364230786941,137.57308253135025
Q:\Meme_Repository\1417760414205.png,236.61226223099453,129.3910245198264,133.7372017914777
Q:\Meme_Repository\1417760615384.jpg,236.18339384903936,124.6469569817491,137.61841921754393
Q:\Meme_Repository\1417760781645 (1).png,229.82897329114056,130.4458981130025,137.7953397948247
Q:\Meme_Repository\1417760781645.png,229.82897329114056,130.4458981130025,137.7953397948247
Q:\Meme_Repository\1417760942432.jpg,217.76474876419587,131.8300569678056,136.48492052765866
Q:\Meme_Repository\1417761103119.jpg,236.7322536149163,127.80999143835616,137.53452910958904
Q:\Meme_Repository\1418015012864.png,234.90778077897818,129.54056095168337,134.3182523370483
Q:\Meme_Repository\1418172844193.jpg,56.77103984932593,126.86528879196405,129.45143867301084
Q:\Meme_Repository\1418173011716.jpg,147.08129726080247,191.64673128858024,191.74180941358026
Q:\Meme_Repository\1418174217959.jpg,59.515087890625,128.19839274088542,121.97104302300347
Q:\Meme_Repository\1418175376628.jpg,28.54734733145416,128.13350921608205,127.63146582973738
